,age_range,gender,marital_status,region,highest_education,school,graduation,study_programme,employment_status,last_year_benefitted,total_loan,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,alternative_collection_strategies,overall_experience_with_loan_process,reCoMmendations
177,38 to 48,Female,Married,Central,Bachelor,Mzuni,2009.0,Education_Science,Self_employed,2008,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,neutral,effective,effective,positive,Adopt their approach to loan takers needs and circumstances,Satisfied,Simplify repayment methods
178,28 to 37,Female,Divorced,Central,Bachelor,Mzuni,2001.0,Education_Science,Employed_parttime,2000,"MWK 300,001 – MWK 500,000",Tuition_Living_Stationery,not_paid,Media,none,neutral,ineffective,ineffective,neutral,Use loan-collecting agencies,neutral,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
179,28 to 37,Male,Married,Central,Bachelor,Mzuni,2017.0,Education_Science,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,neutral,neutral,neutral,Automate the system,neutral,Reduce interest rates
180,28 to 37,Female,Single,Central,Bachelor,Chanco,2013.0,Education_Science,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,Improve communication and follow-up
181,Above 49,Male,Widowed,Southern,Doctorate,Chanco,2008.0,Education_Science,Employed_fulltime,2007,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,neutral,neutral,neutral,neutral,Improve communication,neutral,"Improve communication and follow-up, Reduce interest rates"
182,28 to 37,Male,Married,Central,Bachelor,Chanco,2008.0,Education_Science,Self_employed,2007,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Inperson,none,neutral,neutral,neutral,neutral,Improve communication,neutral,"Improve communication and follow-up, Reduce interest rates"
183,38 to 48,Male,Married,northern,Master,Chanco ,2016.0,Education_Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,neutral,effective,neutral,neutral,Automate system ,neutral,"Improve communication and follow-up, Reduce interest rates"
184,21 to 27,Female,Single,Southern,Bachelor,Mzuni,2015.0,Education_Science,Unemployed,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Simplify repayment methods, Reduce interest rates"
185,Above 49,Female,Single,Southern,Bachelor,Mzuni,2015.0,Education_Science,Unemployed,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Reduce interest rates"
186,28 to 37,Male,Single,northern,Bachelor,Chanco,2014.0,Education_Science,Employed_parttime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Clear communication,neutral,"Improve communication and follow-up, Reduce interest rates"
187,28 to 37,Female,Single,Southern,Bachelor,Mzuni,2013.0,Education_Science,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
188,38 to 48,Male,Married,Southern,Bachelor,Chanco,2007.0,Education_Science,Employed_fulltime,2006,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Reduce interest rates"
189,38 to 48,Female,Married,Southern,Bachelor,Mzuni,2016.0,Education_Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,Improve communication and follow-up
190,Above 49,Male,Widowed,northern,Doctorate,Chanco,2001.0,Education_Science,Employed_fulltime,2000,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Employer,monthly_salary,inconvenient,ineffective,ineffective,neutral,accountability_reporting,neutral,"Simplify repayment methods, Provide more flexible repayment plans"
191,38 to 48,Male,Married,Central,Master,Chanco,2015.0,Education_Science,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,Dissatisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
192,28 to 37,Female,Married,Southern,Bachelor,Poly,2011.0,Education_Science,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,convenient,effective,effective,positive,CoMpliance,Satisfied,Reduce interest rates
193,21 to 27,Female,Single,northern,Bachelor,Mzuni,2014.0,Education_Science,Unemployed,2013,"MWK 600,001 – MWK 1,000,000",Tuition_Living,not_paid,Email,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,"Improve communication and follow-up, Reduce interest rates"
194,21 to 27,Female,Single,Southern,Bachelor,Mzuni,2016.0,Education_Science,Unemployed,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Employer,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities,neutral,Improve communication and follow-up
195,28 to 37,Female,Single,Southern,Bachelor,Chanco,2011.0,Education_Science,Employed_fulltime,2018,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,neutral,neutral,neutral,neutral,Develop succession planning strategies,neutral,"Improve communication and follow-up, Simplify repayment methods"
196,28 to 37,Female,Married,northern,Bachelor,Mzuni,2011.0,Education_Science,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living_Stationery,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Reduce interest rates"
197,28 to 37,Female,Single,Central,Master,Chanco,2016.0,Education_Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Simplify repayment methods, Reduce interest rates"
198,38 to 48,Male,Married,Central,Master,Mzuni,2016.0,Education_Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living_Stationery,not_paid,SMS,none,inconvenient,ineffective,neutral,neutral,Improve tracking with universities,neutral,Improve communication and follow-up
199,28 to 37,Male,Single,Southern,Bachelor,Chanco,2011.0,Education_Science,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,Reduce interest rates
200,28 to 37,Male,Single,Central,Bachelor,Mzuni,2017.0,Physical_Planning,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,Improve communication and follow-up
201,28 to 37,Male,Single,Central,Bachelor,Mzuni,2011.0,Water_Resources_Management,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Clear communication,neutral,"Improve communication and follow-up, Reduce interest rates"
202,28 to 37,Male,Married,Southern,Bachelor,Mzuni,2016.0,Education_Science,Employed_parttime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,Improve communication and follow-up
203,28 to 37,Female,Married,Southern,Bachelor,Chanco,2017.0,Education_Science,Employed_parttime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,Improve communication and follow-up
204,28 to 37,Male,Single,Southern,Bachelor,Chanco,2016.0,Education_Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Clear communication,neutral,Improve communication and follow-up
205,28 to 37,Male,Married,northern,Bachelor,Mzuni,2017.0,Education_Science,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,Automate the process,neutral,Improve communication and follow-up
206,28 to 37,Male,Single,Central,Bachelor,Mzuni,2011.0,Education_Science,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
207,28 to 37,Female,Married,Southern,Bachelor,Chanco,2017.0,Education_Science,Self_employed,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,Improve communication and follow-up
208,28 to 37,Male,Single,Central,Bachelor,Mzuni,2017.0,Education_Science,Employed_parttime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Reduce interest rates"
209,28 to 37,Male,Married,Southern,Bachelor,Chanco,2017.0,Education_Science,Self_employed,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Reduce interest rates"
210,28 to 37,Female,Single,Central,Bachelor,Chanco,2017.0,Education_Science,Self_employed,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Reduce interest rates"
211,28 to 37,Female,Married,Southern,Bachelor,Chanco,2017.0,Education_Science,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,Dissatisfied,"Improve communication and follow-up, Reduce interest rates"
212,28 to 37,Male,Single,Southern,Bachelor,Chanco,2017.0,Education_Science,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Reduce interest rates"
213,28 to 37,Male,Single,Central,Master,Mzuni,2017.0,Education_Science,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Simplify repayment methods"
214,38 to 48,Male,Married,Central,Bachelor,Mzuni,2017.0,Education_Science,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Simplify repayment methods"
215,28 to 37,Female,Married,Central,Bachelor,Mzuni,2016.0,Education_Science,Self_employed,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,Improve communication and follow-up
216,Above 49,Female,Widowed,Central,Master,Mzuni,2016.0,Human_Resource_Development_,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living_Stationery,Fully_paid,none,monthly_salary,very_convenient,effective,very_effective,neutral,Use of Automated system linked to banks accounts,Satisfied,Provide more flexible repayment plans
217,21 to 27,Female,Single,Southern,Bachelor,Poly,2010.0,Physical_Planning,Self_employed,2009,"Less than MWK 200,000",Stationery,Fully_paid,SMS,oneoff,convenient,effective,effective,neutral,Automate the system,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
218,38 to 48,Male,Married,Southern,Bachelor,Poly,2004.0,Electrical_Engineering,Employed_fulltime,2003,"Less than MWK 1,000,000",Tuition,Fully_paid,Employer,oneoff,neutral,effective,effective,neutral,Enhanced corporate relationship. ,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
219,21 to 27,Male,Single,Central,Bachelor,Mzuni,2015.0,Data_Science,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Email_Inperson,none,inconvenient,ineffective,ineffective,neutral,Analyse main causes of delinquency and address underlying issues,neutral,Reduce interest rates
220,28 to 37,Female,Single,Southern,Bachelor,Poly,2016.0,Dentistry,Employed_fulltime,2015,none,Tuition_Living_Stationery,not_paid,none,none,inconvenient,ineffective,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Reduce interest rates"
221,21 to 27,Male,Single,northern,Bachelor,CoM,2013.0,Dentistry,Employed_fulltime,2012,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Work with borrowers to find matually beneficial solutions,Satisfied,"Improve communication and follow-up, Provide more flexible repayment plans"
222,38 to 48,Male,Married,Southern,Bachelor,Poly,2012.0,Dentistry,Self_employed,2012,"MWK 300,001 – MWK 500,000",Tuition,Fully_paid,Email_SMS,oneoff,convenient,effective,effective,positive,"Leverage automation, analytics and digital channels to streamline collections",Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
223,21 to 27,Male,Single,northern,Bachelor,CoM,2016.0,Dentistry,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,neutral,neutral,effective,negative,Consider partnering with specialised collection agencies,Dissatisfied,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
224,38 to 48,Male,Married,northern,Bachelor,CoM,2017.0,Dentistry,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Identify and address potential issues before they beCoMe problems,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
225,21 to 27,Male,Single,northern,Bachelor,MUST,2013.0,Dentistry,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,voluntary_monthly,neutral,neutral,neutral,positive,Technology integration,neutral,"Improve communication and follow-up, Simplify repayment methods"
226,28 to 37,Female,Married,Central,Bachelor,CoM ,2009.0,Dentistry,Employed_fulltime,2008,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Work with borrowers to find mutually beneficial solution ,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
227,38 to 48,Female,Married,Central,Master,CoM,2003.0,Dentistry,Employed_fulltime,2002,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Schedule consistent check-ins to monitor progress and address concerns,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
228,28 to 37,Female,Married,Southern,Bachelor,CoM,2010.0,Dentistry,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson_Employer,monthly_salary,convenient,effective,effective,positive,Leverage automation analytics and digital channels to streamline collections,Satisfied,"Simplify repayment methods, Reduce interest rates"
229,28 to 37,Male,Single,Central,Bachelor,CoM,2016.0,Dentistry,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Ensure borrowers understand loan terms and repayment schedules,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
230,38 to 48,Male,Married,Central,Master,CoM,2004.0,Dentistry,Employed_fulltime,2003,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson_Employer,monthly_salary,convenient,effective,effective,positive,Early intervention,Satisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
231,28 to 37,Male,Single,Central,Master,MUST,2017.0,Dentistry,Employed_fulltime,2016,"Less than MWK 200,000",Living,Fully_paid,Email,oneoff,very_convenient,very_effective,effective,positive,Early intervention,Satisfied,"Improve communication and follow-up, Reduce interest rates"
232,38 to 48,Male,Married,Central,Master,MUST,2017.0,Dentistry,Employed_fulltime,2015,"MWK 300,001 – MWK 500,000",Living,Fully_paid,Email,oneoff,neutral,effective,neutral,positive,Early intervention,neutral,"Improve communication and follow-up, Simplify repayment methods"
233,28 to 37,Female,Widowed,Central,Master,MUST,2017.0,Dentistry,Employed_fulltime,2015,"Less than MWK 200,000",Living,Fully_paid,Email,voluntary_monthly,convenient,effective,effective,positive,Implement a pre default programs,neutral,"Simplify repayment methods, Reduce interest rates"
234,28 to 37,Female,Married,northern,Master,MUST,2015.0,Dentistry,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Email,monthly_salary,convenient,effective,effective,positive,Develop a succession planning strategy ,Satisfied,"Improve communication and follow-up, Simplify repayment methods"
235,21 to 27,Male,Single,northern,Bachelor,MUST,2016.0,Dentistry,Employed_parttime,2015,"Above MWK1,000,000",Living,Partially_paid,Email,voluntary_monthly,convenient,effective,effective,positive,Implement a pre default program ,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
236,21 to 27,Female,Single,northern,Bachelor,MUST,2014.0,Dentistry,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Living,Partially_paid,Email,monthly_salary,convenient,effective,effective,neutral,Automate the system,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans"
237,21 to 27,Male,Single,northern,Bachelor,MUST,2016.0,Dentistry,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Living,Partially_paid,Email,monthly_salary,convenient,effective,effective,positive,Use gamification and incentives ,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
238,38 to 48,Male,Married,Southern,Master,MUST,2017.0,Dentistry,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,effective,effective,very_positive,Automate the system,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
239,28 to 37,Female,Married,Central,Bachelor,MUST,2014.0,Dentistry,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,convenient,effective,very_effective,very_positive,Automate the system,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
240,28 to 37,Female,Married,northern,Diploma,Luanar,2013.0,Environmental_Management_,Employed_fulltime,2012,"Less than MWK 1,000,000",Stationery,Fully_paid,Email,voluntary_monthly,neutral,ineffective,ineffective,negative,Tracking ,Dissatisfied,Improve communication and follow-up
241,Above 49,Female,Married,Central,Master,KCN,1996.0,Nursing,Unemployed,1994,"Less than MWK 1,000,000",Tuition,Fully_paid,none,voluntary_monthly,neutral,ineffective,neutral,neutral,Dealing with employers in the country ,neutral,Reduce interest rates
242,38 to 48,Male,Married,Central,Master,Poly,2005.0,Electronics_and_Telecommunications_Engineering,Employed_fulltime,2004,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,voluntary_monthly,convenient,effective,effective,positive,Clear communication,Satisfied,"Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
243,21 to 27,Male,Single,Central,Bachelor,Poly,2010.0,Engineering_,Self_employed,2009,"Less than MWK 200,000",Living,Partially_paid,Employer,monthly_salary,neutral,ineffective,neutral,negative,By clearly notifying students about the loan_amount accumulated just after finishing academic prowess the clarity and communication has to be top notch to prevent such inconsistencies that arise in repaying the loan fee at least at some discount rate considering the fact that students don't just land on their first job easily ,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
244,28 to 37,Male,Married,Southern,Bachelor,Mzuni,2013.0,Information_and_communication_Technology,Employed_fulltime,2012,"Less than MWK 1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,ineffective,negative,mobile_payment_solutions like Airtel money and Mpamba ,Dissatisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
245,28 to 37,Male,Married,Southern,Master,Mzuni,2013.0,Information_and_communication_Technology,Employed_fulltime,2012,"Less than MWK 1,000,000",Tuition_Stationery,Partially_paid,Inperson,monthly_salary,very_convenient,effective,effective,neutral,Automate the system,Satisfied,"Improve communication and follow-up, Reduce interest rates"
246,28 to 37,Male,Married,Southern,Bachelor,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living_Stationery,Partially_paid,Email,voluntary_monthly,neutral,ineffective,ineffective,neutral,Establish Partnerships with employers,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
247,38 to 48,Male,Single,Southern,Master,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2012,"Less than MWK 1,000,000",Tuition_Stationery,not_paid,Posters,none,neutral,neutral,neutral,neutral,Making direct calls,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans, Reduce interest rates"
248,38 to 48,Male,Single,Central,Master,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"MWK 2,000,001 – MWK 3,000,000",Tuition_Living_Stationery,not_paid,none,none,inconvenient,ineffective,neutral,neutral,Political will to sustain HESLGB is vital for gaining public trust ,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
249,28 to 37,Female,Single,Central,Bachelor,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living,not_paid,Media,none,inconvenient,ineffective,neutral,neutral,Automate the system,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
250,38 to 48,Male,Married,Southern,Master,Mzuni,2013.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living_Stationery,not_paid,none,none,convenient,effective,very_effective,neutral,Automate the system,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
251,28 to 37,Male,Divorced,Central,Master,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living_Stationery,not_paid,none,none,inconvenient,ineffective,Very ineffective,neutral,Automate the system,Dissatisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
252,28 to 37,Female,Married,Southern,Bachelor,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living_Stationery,not_paid,none,none,inconvenient,ineffective,neutral,neutral,Deducting from salary upon agreement ,neutral,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
253,28 to 37,Male,Married,Central,Bachelor,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"MWK 1,000,001 – MWK 2,000,000",Tuition,Fully_paid,Phonecall,oneoff,very_inconvenient,Very ineffective,effective,positive,Automate the system,neutral,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
254,28 to 37,Male,Married,Central,Bachelor,Mzuni,2015.0,Information_and_communication_Technology,Employed_fulltime,2014,"Less than MWK 1,000,000",Tuition_Living_Stationery,Partially_paid,Phonecall_Employer,monthly_salary,convenient,neutral,neutral,positive,"They should submit details of beneficiaries to banks as well integrate NRB, Employing institutions, Banks, Immigration so as to track employees and make up proper loan repayment strategies ",neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
255,28 to 37,Female,Married,Southern,Bachelor,Poly,2013.0,Information_Technology,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Clear communication,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Reduce interest rates"
256,28 to 37,Female,Single,Southern,Bachelor,Poly,2013.0,Journalism,Self_employed,2012,"MWK 300,001 – MWK 500,000",Tuition,Fully_paid,Email,oneoff,convenient,neutral,neutral,neutral,Automate the system,neutral,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
257,21 to 27,Female,Married,northern,Master,Poly,2014.0,Journalism,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Offer rewards for timely payments or early settlements ,Very satisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
258,38 to 48,Male,Married,Southern,Master,Poly,2013.0,Journalism,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Celebrate success ,Very satisfied,"Simplify repayment methods, Reduce interest rates"
259,21 to 27,Male,Single,northern,Bachelor,Poly,2013.0,Journalism,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,neutral,neutral,effective,positive,Clear communication,Satisfied,"Provide more flexible repayment plans, Reduce interest rates"
260,21 to 27,Female,Married,Southern,Bachelor,Poly,2017.0,Journalism,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Leverage technology ,Very satisfied,"Provide more flexible repayment plans, Reduce interest rates"
261,28 to 37,Female,Married,Southern,Bachelor,Poly,2015.0,Journalism,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Use  data analytics,Very satisfied,"Improve communication and follow-up, Reduce interest rates"
262,28 to 37,Male,Single,northern,Bachelor,Poly,2010.0,Journalism,Employed_fulltime,2009,"MWK 300,001 – MWK 500,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,accountability_reporting,neutral,"Improve communication and follow-up, Provide more flexible repayment plans"
263,28 to 37,Male,Single,Central,Bachelor,Poly,2015.0,Journalism,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,Improve tracking with colleges,neutral,Improve communication and follow-up
264,38 to 48,Male,Married,Southern,Master,Mzuni,2015.0,Library_and_Information_Science_,Employed_fulltime,2014,"Less than MWK 1,000,000",Tuition_Living,Fully_paid,Employer,monthly_salary,very_convenient,very_effective,effective,positive,Automate the system,Satisfied,Improve communication and follow-up
265,28 to 37,Female,Single,Central,Bachelor,Mzuni,2015.0,Library_and_Information_Science_,Employed_fulltime,2015,"MWK 300,001 – MWK 500,000",Tuition,Partially_paid,Employer,monthly_salary,inconvenient,ineffective,ineffective,neutral,Automate the system,Satisfied,Simplify repayment methods
266,28 to 37,Male,Single,Southern,Bachelor,Poly,2017.0,MBBS,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Tuition,not_paid,Email,none,neutral,neutral,neutral,neutral,Monthly deductions from employment ,neutral,"Simplify repayment methods, Reduce interest rates"
267,21 to 27,Female,Single,northern,Bachelor,CoM,2013.0,MBBS,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Focus on empathy and understanding ,Very satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
268,28 to 37,Female,Married,Southern,Bachelor,CoM,2017.0,MBBS,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,very_effective,effective,positive,Staff training ,Satisfied,"Improve communication and follow-up, Provide more flexible repayment plans, Reduce interest rates"
269,28 to 37,Male,Married,Central,Bachelor,CoM,2011.0,MBBS,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Clear communication,Satisfied,"Improve communication and follow-up, Simplify repayment methods, Provide more flexible repayment plans"
270,28 to 37,Male,Single,northern,Bachelor,CoM,2013.0,MBBS,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Use of technology to remind borrowers,Satisfied,Reduce interest rates
