age_range,gender,marital_status,region,highest_education,school,graduation,study_programme,employment_status,last_year_benefitted,total_loan,loan_purpose,repayment_status,repayment_info_source,repayment_method,repayment_method_convenience,effectiveness_repayment_method,collection_strategy_effectiveness,interaction_quality_on_repayment,overall_experience_with_loan_process
28 to 37,Female,Married,northern,Diploma,Luanar,2013.0,Environmental_Management_,Employed_fulltime,2012,"Less than MWK 1,000,000",Stationery,Fully_paid,Email,voluntary_monthly,neutral,ineffective,ineffective,negative,Dissatisfied
Above 49,Female,Married,Central,Master,KCN,1996.0,Nursing,Unemployed,1994,"Less than MWK 1,000,000",Tuition,Fully_paid,none,voluntary_monthly,neutral,ineffective,neutral,neutral,neutral
38 to 48,Male,Married,Central,Master,Poly,2005.0,Electronics_and_Telecommunications_Engineering,Employed_fulltime,2004,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Phonecall_Inperson,voluntary_monthly,convenient,effective,effective,positive,Satisfied
21 to 27,Male,Single,Central,Bachelor,Poly,2010.0,Engineering_,Self_employed,2009,"Less than MWK 200,000",Living,Partially_paid,Employer,monthly_salary,neutral,ineffective,neutral,negative,neutral
28 to 37,Male,Married,Southern,Bachelor,Mzuni,2013.0,Information_and_communication_Technology,Employed_fulltime,2012,"Less than MWK 1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,ineffective,negative,Dissatisfied
28 to 37,Male,Married,Southern,Master,Mzuni,2013.0,Information_and_communication_Technology,Employed_fulltime,2012,"Less than MWK 1,000,000",Tuition_Stationery,Partially_paid,Inperson,monthly_salary,very_convenient,effective,effective,neutral,Satisfied
28 to 37,Male,Married,Southern,Bachelor,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living_Stationery,Partially_paid,Email,voluntary_monthly,neutral,ineffective,ineffective,neutral,neutral
38 to 48,Male,Single,Southern,Master,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2012,"Less than MWK 1,000,000",Tuition_Stationery,not_paid,Posters,none,neutral,neutral,neutral,neutral,neutral
38 to 48,Male,Single,Central,Master,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"MWK 2,000,001 – MWK 3,000,000",Tuition_Living_Stationery,not_paid,none,none,,,neutral,,neutral
28 to 37,Female,Single,Central,Bachelor,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living,not_paid,Media,none,,,neutral,neutral,Satisfied
38 to 48,Male,Married,Southern,Master,Mzuni,2013.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living_Stationery,not_paid,none,none,convenient,effective,very_effective,neutral,neutral
28 to 37,Male,Divorced,Central,Master,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living_Stationery,not_paid,none,none,,,Very ineffective,neutral,Dissatisfied
28 to 37,Female,Married,Southern,Bachelor,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"Less than MWK 1,000,000",Tuition_Living_Stationery,not_paid,none,none,,,,,neutral
28 to 37,Male,Married,Central,Bachelor,Mzuni,2014.0,Information_and_communication_Technology,Employed_fulltime,2013,"MWK 1,000,001 – MWK 2,000,000",Tuition,Fully_paid,Phonecall,oneoff,very_inconvenient,Very ineffective,effective,positive,neutral
28 to 37,Male,Married,Central,Bachelor,Mzuni,2015.0,Information_and_communication_Technology,Employed_fulltime,2014,"Less than MWK 1,000,000",Tuition_Living_Stationery,Partially_paid,Phonecall_Employer,monthly_salary,convenient,neutral,neutral,positive,neutral
28 to 37,Female,Married,Southern,Bachelor,Poly,2013.0,Information_Technology,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Female,Single,Southern,Bachelor,Poly,2013.0,Journalism,Self_employed,2012,"MWK 300,001 – MWK 500,000",Tuition,Fully_paid,Email,oneoff,convenient,neutral,neutral,neutral,neutral
21 to 27,Female,Married,northern,Master,Poly,2014.0,Journalism,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
38 to 48,Male,Married,Southern,Master,Poly,2013.0,Journalism,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
21 to 27,Male,Single,northern,Bachelor,Poly,2013.0,Journalism,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,neutral,neutral,effective,positive,Satisfied
21 to 27,Female,Married,Southern,Bachelor,Poly,2017.0,Journalism,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Female,Married,Southern,Bachelor,Poly,2015.0,Journalism,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Male,Single,northern,Bachelor,Poly,2010.0,Journalism,Employed_fulltime,2009,"MWK 300,001 – MWK 500,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Poly,2015.0,Journalism,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Male,Married,Southern,Master,Mzuni,2015.0,Library_and_Information_Science_,Employed_fulltime,2014,"Less than MWK 1,000,000",Tuition_Living,Fully_paid,Employer,monthly_salary,very_convenient,very_effective,effective,positive,Satisfied
28 to 37,Female,Single,Central,Bachelor,Mzuni,2015.0,Library_and_Information_Science_,Employed_fulltime,2015,"MWK 300,001 – MWK 500,000",Tuition,Partially_paid,Employer,monthly_salary,inconvenient,ineffective,ineffective,,Satisfied
28 to 37,Male,Single,Southern,Bachelor,Poly,2017.0,MBBS,Employed_fulltime,2016,"MWK 300,001 – MWK 500,000",Tuition,not_paid,Email,none,neutral,neutral,neutral,neutral,neutral
21 to 27,Female,Single,northern,Bachelor,CoM,2013.0,MBBS,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Female,Married,Southern,Bachelor,CoM,2017.0,MBBS,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,very_effective,effective,positive,Satisfied
28 to 37,Male,Married,Central,Bachelor,CoM,2011.0,MBBS,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Male,Single,northern,Bachelor,CoM,2013.0,MBBS,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Satisfied
21 to 27,Male,Single,northern,Bachelor,CoM,2017.0,MBBS,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,neutral,neutral,effective,neutral,neutral
Above 49,Male,Married,northern,Doctorate,CoM,1999.0,MBBS,Employed_fulltime,1998,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,neutral,neutral,Satisfied
28 to 37,Female,Married,Southern,Bachelor,CoM,2007.0,MBBS,Employed_fulltime,2006,"MWK 300,001 – MWK 500,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,effective,neutral,neutral,neutral
38 to 48,Male,Widowed,Central,Master,CoM,2014.0,MBBS,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,neutral,effective,neutral,neutral,neutral
38 to 48,Male,Divorced,Southern,Bachelor,Mzuni,2004.0,MBBS,Employed_fulltime,2003,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,effective,neutral,neutral,neutral
38 to 48,Male,Married,northern,Master,Mzuni,2015.0,MBBS,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,voluntary_monthly,convenient,neutral,neutral,neutral,neutral
28 to 37,Male,Married,Central,Master,CoM,2009.0,MBBS,Employed_fulltime,2008,"MWK 300,001 – MWK 500,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,effective,effective,positive,neutral
21 to 27,Male,Single,Central,Bachelor,CoM,2013.0,MBBS,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,neutral,neutral,neutral,neutral,neutral
38 to 48,Female,Married,Central,Bachelor,CoM,2010.0,MBBS,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,neutral,neutral,effective,positive,Satisfied
28 to 37,Male,Married,Southern,Bachelor,CoM,2016.0,MBBS,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,effective,neutral,positive,Satisfied
28 to 37,Male,Single,Central,Bachelor,CoM,2013.0,MBBS,Employed_parttime,2012,"Above MWK1,000,000",Tuition,not_paid,Employer,none,inconvenient,ineffective,neutral,neutral,neutral
Above 49,Female,Married,northern,Doctorate,Mzuni,2001.0,MBBS,Employed_fulltime,2000,"MWK 300,001 – MWK 500,000",Tuition,Fully_paid,Inperson,voluntary_monthly,neutral,effective,effective,positive,neutral
21 to 27,Male,Single,Central,Bachelor,Mzuni,2013.0,MBBS,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Female,Married,Central,Master,CoM,2016.0,MBBS,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
38 to 48,Male,Married,Central,Master,CoM ,2002.0,MBBS,Employed_parttime,2001,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Phonecall,monthly_salary,convenient,effective,effective,positive,neutral
28 to 37,Male,Married,northern,Bachelor,CoM ,2016.0,MBBS,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Living,not_paid,Email,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Male,Married,northern,Master,CoM ,2014.0,MBBS,Employed_fulltime,2013,"MWK 300,001 – MWK 500,000",Living,Partially_paid,Email,monthly_salary,convenient,effective,effective,positive,Satisfied
38 to 48,Male,Married,northern,Doctorate,CoM ,2013.0,MBBS,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Phonecall,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Female,Married,northern,Bachelor,CoM ,2016.0,MBBS,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Email,monthly_salary,convenient,effective,effective,positive,Satisfied
Above 49,Female,Divorced,northern,Doctorate,CoM ,1993.0,MBBS,Employed_parttime,1992,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Inperson,oneoff,convenient,effective,effective,positive,Satisfied
28 to 37,Male,Married,northern,Master,CoM ,2012.0,MBBS,Employed_fulltime,2011,"MWK 300,001 – MWK 500,000",Living,Fully_paid,Email,monthly_salary,convenient,effective,effective,neutral,Satisfied
21 to 27,Female,Married,northern,Bachelor,CoM ,2016.0,MBBS,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Male,Single,Central,Bachelor,Mzuni,2013.0,MBBS,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
21 to 27,Female,Married,northern,Master,CoM ,2016.0,MBBS,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
38 to 48,Female,Married,Southern,Bachelor,CoM ,2017.0,MBBS,Employed_fulltime,2016,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Female,Married,Southern,Bachelor,CoM ,2015.0,MBBS,Employed_fulltime,2014,"MWK 600,001 – MWK 1,000,000",Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
21 to 27,Female,Married,Central,Bachelor,CoM ,2016.0,MBBS,Employed_fulltime,2015,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Married,Southern,Doctorate,CoM ,2000.0,MBBS,Employed_fulltime,1999,"Above MWK1,000,000",Tuition_Living_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Female,Widowed,Southern,Doctorate,CoM ,2000.0,MBBS,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
21 to 27,Female,Single,Central,Bachelor,CoM ,2013.0,MBBS,Employed_fulltime,2013,"MWK 600,001 – MWK 1,000,000",Living,Fully_paid,Email_Phonecall,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
28 to 37,Female,Divorced,Southern,Master,Mzuni,2017.0,MBBS,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,neutral,ineffective,negative,Dissatisfied
28 to 37,Female,Married,Southern,Bachelor,CoM ,2010.0,MBBS,Employed_fulltime,2009,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Divorced,Southern,Doctorate,CoM ,2000.0,MBBS,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Stationery,Fully_paid,Phonecall_Inperson,monthly_salary,very_convenient,very_effective,very_effective,very_positive,Very satisfied
Above 49,Male,Married,Central,Doctorate,CoM,2000.0,MBBS,Employed_fulltime,1999,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Fully_paid,Inperson,monthly_salary,convenient,very_effective,effective,positive,Satisfied
28 to 37,Male,Married,Southern,Bachelor,Mzuni,2013.0,MBBS,Employed_fulltime,2012,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Employer,none,inconvenient,ineffective,neutral,neutral,neutral
Above 49,Male,Married,Central,Master,CoM,2009.0,MBBS,Employed_fulltime,2008,"Less than MWK 200,000",Living,Fully_paid,Inperson,oneoff,convenient,effective,very_effective,positive,Satisfied
38 to 48,Male,Married,Central,Master,Mzuni,2014.0,MBBS,Employed_parttime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,neutral,neutral,neutral,neutral,neutral
28 to 37,Female,Married,Southern,Bachelor,Mzuni,2011.0,MBBS,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,effective,positive,neutral
21 to 27,Male,Single,Southern,Bachelor,CoM,2016.0,MBBS,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,northern,Bachelor,Mzuni,2016.0,MBBS,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,northern,Bachelor,Mzuni,2011.0,MBBS,Self_employed,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Mzuni,2011.0,MBBS,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Employer,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Southern,Bachelor,CoM,2011.0,MBBS,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,Partially_paid,Email,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral
21 to 27,Male,Single,northern,Bachelor,CoM,2011.0,MBBS,Self_employed,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,Mzuni,2011.0,MBBS,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Female,Married,Southern,Master,CoM,2015.0,MBBS,Employed_fulltime,2014,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,Southern,Bachelor,Chanco,2015.0,Performing_Arts,Employed_parttime,2014,"Less than MWK 1,000,000",Tuition_Living,not_paid,Inperson,none,,ineffective,ineffective,neutral,neutral
28 to 37,Male,Married,Central,Bachelor,MUST,2017.0,Pharmacy,Employed_fulltime,2016,"Less than MWK 200,000",Living,Fully_paid,Inperson,oneoff,convenient,effective,effective,positive,Satisfied
28 to 37,Female,Married,Southern,Bachelor,CoM ,2017.0,Pharmacy,Employed_parttime,2016,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Inperson,none,neutral,neutral,neutral,neutral,neutral
21 to 27,Male,Single,Southern,Bachelor,MUST,2013.0,Pharmacy,Unemployed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,neutral,neutral,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,MUST,2013.0,Pharmacy,Employed_fulltime,2012,"Above MWK1,000,000",Tuition,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
Above 49,Male,Married,Southern,Doctorate,Mzuni,2007.0,Pharmacy,Employed_fulltime,2006,"Above MWK1,000,000",Tuition_Living,Partially_paid,Employer,monthly_salary,neutral,effective,neutral,neutral,neutral
28 to 37,Male,Married,Central,Bachelor,Mzuni,2010.0,Pharmacy,Employed_fulltime,2009,"Above MWK1,000,000",Tuition_Living,Partially_paid,Employer,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,CoM,2013.0,Pharmacy,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Female,Married,Southern,Bachelor,MUST,2013.0,Pharmacy,Self_employed,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,MUST,2013.0,Pharmacy,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,Central,Bachelor,CoM,2013.0,Pharmacy,Employed_fulltime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,northern,Bachelor,CoM,2016.0,Pharmacy,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Southern,Bachelor,Mzuni,2016.0,Pharmacy,Unemployed,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,northern,Bachelor,Mzuni,2013.0,Pharmacy,Employed_parttime,2012,"Above MWK1,000,000",Tuition_Living,Partially_paid,Inperson,voluntary_monthly,inconvenient,ineffective,neutral,neutral,neutral
Above 49,Male,Single,Central,Bachelor,CoM,2015.0,Pharmacy,Employed_parttime,2014,"Above MWK1,000,000",Tuition_Living,not_paid,Email,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Female,Married,northern,Bachelor,MUST,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition,not_paid,Email_Phonecall_Inperson,monthly_salary,neutral,effective,effective,positive,Satisfied
38 to 48,Male,Married,Central,Master,Mzuni,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Email_Inperson,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Male,Single,northern,Bachelor,MUST,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition_Living,Partially_paid,Inperson,monthly_salary,neutral,neutral,neutral,positive,neutral
28 to 37,Male,Single,Central,Master,MUST,2014.0,Pharmacy,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
21 to 27,Female,Single,Central,Bachelor,Mzuni,2014.0,Pharmacy,Employed_fulltime,2013,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,northern,Bachelor,MUST,2017.0,Pharmacy,Self_employed,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
38 to 48,Male,Married,Central,Bachelor,CoM,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Tuition,Fully_paid,Email,monthly_salary,neutral,effective,effective,positive,Satisfied
21 to 27,Male,Single,Southern,Bachelor,Mzuni,2011.0,Pharmacy,Employed_parttime,2010,"MWK 600,001 – MWK 1,000,000",Living,Partially_paid,Email,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Female,Married,northern,Bachelor,CoM,2011.0,Pharmacy,Employed_fulltime,2010,"MWK 600,001 – MWK 1,000,000",Living_Stationery,Partially_paid,Email,monthly_salary,neutral,effective,neutral,positive,neutral
21 to 27,Female,Single,northern,Bachelor,MUST,2011.0,Pharmacy,Employed_fulltime,2018,"Above MWK1,000,000",Tuition_Living,not_paid,Email_Inperson,none,neutral,neutral,neutral,neutral,neutral
21 to 27,Female,Married,Central,Bachelor,Mzuni,2016.0,Pharmacy,Employed_fulltime,2015,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,Very ineffective,neutral,neutral,neutral
28 to 37,Female,Married,Central,Bachelor,Mzuni,2017.0,Pharmacy,Employed_parttime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Single,Central,Bachelor,MUST,2011.0,Pharmacy,Employed_fulltime,2010,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,Central,Bachelor,MUST,2017.0,Pharmacy,Employed_fulltime,2016,"Above MWK1,000,000",Tuition_Living,not_paid,Inperson,none,inconvenient,ineffective,neutral,neutral,neutral
28 to 37,Male,Married,Central,Master,Chanco,2015.0,,Employed_fulltime,2014,"Less than MWK 1,000,000",Tuition_Stationery,Fully_paid,Socialmedia,oneoff,convenient,ineffective,effective,positive,Satisfied
28 to 37,Female,Married,Southern,Master,Chanco,2015.0,,Employed_fulltime,2014,"Less than MWK 1,000,000",Stationery,Fully_paid,Employer,monthly_salary,very_convenient,effective,effective,positive,Satisfied
28 to 37,Female,Single,Central,Master,Poly,2013.0,,Employed_fulltime,2012,"Less than MWK 1,000,000",Tuition,not_paid,SMS,none,neutral,effective,effective,neutral,Satisfied
28 to 37,Male,Married,Southern,Master,Chanco,2015.0,,Employed_fulltime,2014,"MWK 1,000,001 – MWK 2,000,000",Tuition_Stationery,Fully_paid,Email,monthly_salary,convenient,effective,effective,positive,Satisfied
28 to 37,Male,Single,Central,Bachelor,Chanco,2015.0,,Employed_fulltime,2015,,Tuition_Living_Stationery,not_paid,SMS,none,,ineffective,,negative,neutral
28 to 37,Female,Single,Central,Bachelor,Chanco,2014.0,,Employed_fulltime,2014,"Less than MWK 1,000,000",Tuition_Living,Fully_paid,Media ,voluntary_monthly,convenient,effective,effective,neutral,Satisfied
28 to 37,Female,Single,Central,Bachelor,Mzuni,2016.0,,Employed_fulltime,2015,,Tuition_Living_Stationery,not_paid,SMS,none,very_convenient,very_effective,very_effective,very_positive,Very satisfied
38 to 48,Male,Married,Central,Master,Chanco,2002.0,,Self_employed,2001,"Less than MWK 1,000,000",Tuition_Stationery,Fully_paid,Email,oneoff,convenient,effective,neutral,positive,Satisfied
28 to 37,Male,Married,northern,Bachelor,Luanar,2011.0,,Employed_fulltime,2010,"MWK 1,000,001 – MWK 2,000,000",Tuition,not_paid,Employer,none,,,neutral,very_positive,Dissatisfied
